"","leadGram","gram","Record"
"3756","one of","the",602
"833","a lot","of",527
"502","it was","a",315
"9890","to be","a",307
"4316","out of","the",265
"1614","i want","to",241
"1035","the end","of",240
"1219","there is","a",232
"10692","i dont","know",219
"1430","some of","the",217
"19370","be able","to",216
"189","i have","to",214
"2018","a couple","of",213
"4","it is","a",210
"6122","the rest","of",210
"9750","i had","to",210
"27822","going to","be",210
"1903","this is","a",209
"5122","part of","the",207
"3818","when i","was",200
"8105","i have","been",200
"870","i wanted","to",197
"6172","there is","no",192
"1059","most of","the",190
"11102","i have","a",190
"2761","as well","as",179
"6878","the fact","that",178
"2452","i am","not",176
"964","there was","a",175
"4156","i had","a",175
"4150","was going","to",171
"6986","and it","was",171
"1036","the first","time",168
"14991","and i","was",166
"1373","back to","the",164
"4123","this is","the",164
"7348","all of","the",161
"22164","you have","to",158
"4856","a bit","of",156
"5257","in order","to",155
"14137","that i","have",154
"10019","it would","be",153
"815","to be","the",150
"5178","one of","my",149
"1965","is one","of",148
"6939","to have","a",147
"6163","in the","world",142
"6561","end of","the",142
"2184","to go","to",141
"1405","i need","to",138
"5844","you want","to",137
"6780","that i","was",136
"8152","in front","of",134
"7281","as much","as",133
"5542","want to","be",131
"38456","to do","with",131
"4533","at the","end",129
"10897","i dont","think",128
"25592","it is","the",128
"3811","i went","to",127
"4357","i was","in",127
"4872","is going","to",127
"2460","that i","am",125
"595","i decided","to",124
"19378","that i","had",122
"4604","at the","same",121
"7756","rest of","the",121
"14215","was able","to",121
"15146","at the","time",121
"7958","if you","are",118
"4610","the same","time",117
"12534","for me","to",116
"500","but it","was",114
"185","and i","have",113
"6728","and it","is",111
"21084","for the","first",111
"2662","there was","no",108
"38442","that it","was",108
"13054","dont want","to",107
"709","and i","am",106
"1973","one of","those",106
"9147","up in","the",106
"10112","it is","not",106
"3931","it was","the",105
"184","a long","time",104
"2728","in the","same",104
"3531","i was","a",104
"6302","in the","middle",102
"6614","but it","is",102
"6913","for a","while",102
"6518","on the","other",101
"16982","when it","comes",99
"18034","in my","life",98
"26424","to see","the",98
"48105","to make","a",98
"9788","of the","most",97
"649","i did","not",96
"1553","to say","that",96
"13441","i know","that",96
"20694","have to","be",96
"3692","it will","be",95
"4683","i would","have",95
"6521","seems to","be",94
"9252","i feel","like",94
"21803","would have","been",94
"4771","of the","world",93
"9710","a part","of",93
"16976","it comes","to",93
"24481","in the","past",93
"1630","in the","first",92
"13893","the next","day",91
"17805","by the","time",91
"32115","go to","the",91
"7836","went to","the",90
"1167","need to","be",89
"6310","the middle","of",89
"8122","im going","to",89
"21773","to make","it",89
"20916","in the","end",88
"34947","i used","to",88
"1462","a little","bit",87
"5999","because of","the",87
"18611","at this","point",87
"1767","we went","to",86
"26443","i think","i",86
"29924","i am","a",86
"1177","all the","time",85
"7162","of the","time",85
"15472","this is","not",85
"21883","to take","a",85
"44409","as long","as",85
"9786","i will","be",84
"19432","is not","a",84
"2993","i think","it",83
"9079","i have","no",83
"14486","up to","the",83
"1719","to get","a",82
"4182","i dont","want",82
"4206","would be","a",82
"6999","that he","was",82
"17242","that it","is",82
"35929","you need","to",82
"70359","for a","few",82
"3419","it has","been",81
"2468","i do","not",80
"6162","if you","have",79
"7687","was one","of",79
"18796","to make","the",79
"20121","not going","to",79
"53925","to do","it",79
"943","in the","morning",78
"2879","that i","would",78
"3841","a number","of",78
"4142","i was","going",78
"7266","was in","the",78
"12067","to deal","with",78
"14051","i dont","have",78
"1621","to get","the",77
"7476","side of","the",77
"7442","you can","see",76
"8525","the idea","of",75
"24219","are going","to",75
"11088","of the","year",74
"37486","i was","able",74
"51591","the top","of",74
"13433","would like","to",73
"2377","as far","as",72
"6524","the other","hand",72
"8145","a few","days",72
"22997","and i","think",72
"39931","we had","a",72
"18","as a","result",71
"1218","that there","is",71
"3785","to make","sure",71
"13201","to me","and",71
"1744","out to","be",70
"3416","has been","a",70
"5830","if you","want",70
"14194","is in","the",70
"25718","supposed to","be",70
"2673","i was","so",69
"9127","to be","in",69
"10359","we have","a",69
"15477","as soon","as",69
"21155","but i","am",69
"28277","that this","is",69
"928","a bunch","of",68
"1175","we need","to",68
"14265","in the","last",68
"20693","dont have","to",68
"23002","i think","that",68
"30995","there are","a",68
"35919","i am","going",68
"12153","of the","day",67
"17682","all of","this",67
"40001","and i","dont",67
"2520","didnt want","to",66
"6964","i didnt","know",66
"12191","he was","a",66
"20457","im not","sure",66
"25599","that i","can",66
"28753","i tried","to",66
"30530","in love","with",66
"41856","but i","was",66
"16544","in the","s",65
"21589","all over","the",65
"22274","and i","had",65
"26065","have to","do",65
"2385","i know","i",64
"3498","more than","a",64
"7555","a sense","of",64
"9112","for a","long",64
"9223","over and","over",64
"12208","on top","of",64
"12757","the united","states",64
"13695","as i","was",64
"18809","to get","to",64
"27243","of my","life",64
"5593","seem to","be",63
"14253","i had","no",63
"49792","but i","dont",63
"2469","me and","i",62
"2532","want to","do",62
"3774","up with","a",62
"4237","he is","a",62
"7794","is that","the",62
"11780","a little","more",62
"11995","was the","first",62
"17258","many of","the",62
"19099","if you","dont",62
"19295","was a","little",62
"24346","and he","was",62
"41747","the kind","of",62
